n tempo

10 0.000600
20 0.002000
30 0.003900
40 0.006300
50 0.010100
60 0.014400
70 0.018600
80 0.030900
90 0.037100
100 0.036700
// o tamanho do vetor varia de 100 em 100
200 0.138600
300 0.290700
400 0.500700
500 0.771000
600 1.095800
700 1.475900
800 2.012100
900 2.933400
1000 3.002700
// o tamanho do vetor varia de 1000 em 1000
2000 11.710300
3000 26.814700
4000 49.394800
5000 79.233700
6000 117.852200
7000 165.734600
8000 219.525700
9000 289.413300
10000 358.270600
// o tamanho do vetor varia de 10000 em 10000
20000 1548.570000
30000 3531.237200
40000 6325.939200
50000 10665.465600
60000 14482.188900
70000 19769.593700
80000 25863.085800
90000 33351.383000
100000 41062.360700
// o tamanho do vetor varia de 100000 em 100000
200000 162579.361800
300000 367009.124100
400000 647471.156200
500000 1032089.003600
600000 1459936.766100
700000 1977212.934500
800000 2583475.039600
900000 3268468.024800
1000000 4035199.407700
