n tempo

10 0.000600
20 0.001900
30 0.003900
40 0.007300
50 0.010300
60 0.013400
70 0.018600
80 0.023000
90 0.029900
100 0.036500
// o tamanho do vetor varia de 100 em 100
200 0.134500
300 0.289900
400 0.509400
500 0.773900
600 1.086500
700 1.472500
800 1.975300
900 2.408700
1000 2.959600
// o tamanho do vetor varia de 1000 em 1000
2000 11.703300
3000 26.814500
4000 48.996200
5000 79.498000
6000 117.723300
7000 165.491700
8000 220.304400
9000 285.550500
10000 357.115600
// o tamanho do vetor varia de 10000 em 10000
20000 1526.581700
30000 3505.543700
40000 6343.562500
50000 9976.123600
60000 14493.989800
70000 19728.329900
80000 25999.409800
90000 32701.727900
100000 40399.389800
