n tempo

10 0.000400
20 0.000700
30 0.001100
40 0.001800
50 0.002300
60 0.003200
70 0.004300
80 0.005100
90 0.006200
100 0.008100
// o tamanho do vetor varia de 100 em 100
200 0.028800
300 0.064400
400 0.118900
500 0.184500
600 0.271300
700 0.340000
800 0.445700
900 0.573800
1000 0.722100
// o tamanho do vetor varia de 1000 em 1000
2000 2.814600
3000 6.352300
4000 11.278900
5000 17.324200
6000 25.776700
7000 35.179200
8000 45.670000
9000 61.462500
10000 70.714500
// o tamanho do vetor varia de 10000 em 10000
20000 300.783700
30000 646.600700
40000 1128.692500
50000 1751.667500
60000 2509.662800
70000 3407.560500
80000 4469.055600
90000 5660.394900
100000 6951.060600
