n tempo

10 0.000400
20 0.000800
30 0.001000
40 0.001800
50 0.002500
60 0.003100
70 0.004400
80 0.004800
90 0.007600
100 0.007900
// o tamanho do vetor varia de 100 em 100
200 0.031100
300 0.065600
400 0.114800
500 0.181400
600 0.258600
700 0.364500
800 0.454700
900 0.577000
1000 0.741000
// o tamanho do vetor varia de 1000 em 1000
2000 2.914700
3000 6.323400
4000 11.339900
5000 20.556100
6000 30.622000
7000 34.773900
8000 45.182000
9000 64.890400
10000 75.959800
// o tamanho do vetor varia de 10000 em 10000
20000 278.721000
30000 631.600700
40000 1114.878500
50000 1760.543900
60000 2513.996300
70000 3434.425300
80000 4450.229700
90000 5643.127600
100000 6978.563400
// o tamanho do vetor varia de 100000 em 100000
200000 30379.393100
300000 63598.908800
400000 113240.037200
500000 176360.794700
600000 254448.901800
700000 342506.108900
800000 449671.410200
900000 585422.666900
1000000 715731.730200
