n tempo

10 0.022900
20 0.044500
30 0.056700
40 0.065200
50 0.089600
60 0.104700
70 0.119100
80 0.140600
90 0.157400
100 0.172700
// o tamanho do vetor varia de 100 em 100
200 0.368700
300 0.547700
400 0.730600
500 0.922600
600 1.122600
700 1.303500
800 1.498000
900 1.701700
1000 1.883500
// o tamanho do vetor varia de 1000 em 1000
2000 3.832500
3000 5.955100
4000 7.838600
5000 9.293800
6000 10.885600
7000 14.620000
8000 15.526500
9000 19.561200
10000 19.258300
// o tamanho do vetor varia de 10000 em 10000
20000 39.431500
30000 59.890500
40000 81.106300
50000 101.948200
60000 123.606200
70000 144.594300
80000 165.601700
90000 186.762300
100000 211.614200
// o tamanho do vetor varia de 100000 em 100000
200000 426.563600
300000 650.168000
400000 874.272000
500000 1105.933900
600000 1328.594800
700000 1562.413200
800000 1796.107400
900000 2028.325900
1000000 2263.861500
