n tempo

10 0.000600
20 0.001100
30 0.001600
40 0.002300
50 0.002800
60 0.003500
70 0.005700
80 0.005100
90 0.005500
100 0.006100
// o tamanho do vetor varia de 100 em 100
200 0.013700
300 0.020800
400 0.030200
500 0.038100
600 0.045800
700 0.054400
800 0.063000
900 0.071500
1000 0.080800
// o tamanho do vetor varia de 1000 em 1000
2000 0.180000
3000 0.282100
4000 0.374000
5000 0.478500
6000 0.585600
7000 0.692900
8000 0.802900
9000 0.919600
10000 1.043300
// o tamanho do vetor varia de 10000 em 10000
20000 2.202400
30000 3.380900
40000 4.778800
50000 5.922000
60000 7.191200
70000 8.599200
80000 14.226900
90000 11.228600
100000 12.626100
// o tamanho do vetor varia de 100000 em 100000
200000 26.279400
300000 40.273000
400000 55.869400
500000 70.650000
600000 85.385300
700000 100.941900
800000 116.966000
900000 131.286900
1000000 146.837800
