n tempo

10 0.000500
20 0.001200
30 0.002000
40 0.003300
50 0.004900
60 0.006700
70 0.008600
80 0.010900
90 0.013600
100 0.016000
// o tamanho do vetor varia de 100 em 100
200 0.057600
300 0.124000
400 0.215500
500 0.332600
600 0.472700
700 0.637600
800 0.832300
900 1.041500
1000 1.285600
// o tamanho do vetor varia de 1000 em 1000
2000 5.029500
3000 11.245000
4000 19.907800
5000 31.033500
6000 44.659800
7000 60.749100
8000 79.130800
9000 100.179200
10000 123.548600
// o tamanho do vetor varia de 10000 em 10000
20000 493.177200
30000 1108.660900
40000 1975.144300
50000 3083.300700
60000 4459.131400
70000 6104.191700
80000 7908.989200
90000 10794.382900
100000 12344.676300
// o tamanho do vetor varia de 100000 em 100000
200000 51574.504600
300000 111702.652100
400000 198452.775200
500000 309820.007700
600000 443984.345800
700000 609399.561000
800000 807359.732000
900000 1000605.438700
1000000 1230523.593400
